Generation,MaxFitness,BestObjectiveValue_f
0,0.00017,5899.3045538692
1,0.00017,5808.7300561440
2,0.00021,4808.6502894696
3,0.00027,3746.6340538035
4,0.00027,3746.6340538035
5,0.00027,3746.6340538035
6,0.00029,3405.7620057237
7,0.00030,3341.2534939755
8,0.00030,3341.2534816047
9,0.00031,3273.8177338251
10,0.00033,3055.1658368030
11,0.00033,3010.4616308838
12,0.00033,3010.4616308838
13,0.00038,2649.6364187101
14,0.00038,2649.6364187101
15,0.00039,2593.0103326644
16,0.00039,2593.0103326644
17,0.00194,515.7841965064
18,0.00194,515.7841927975
19,0.00194,515.7690051056
20,0.00216,462.4226837784
21,0.00216,462.4226837784
22,0.00239,416.7904971693
23,0.00239,416.7904971693
24,0.00377,264.1230323956
25,0.00377,264.1229807716
26,0.00379,262.9723252325
27,0.00420,237.0977476978
28,0.00420,237.0977476978
29,0.00420,237.0476639306
30,0.00420,236.9434017244
31,0.00583,170.5824547634
32,0.00583,170.5824547634
33,0.00583,170.5824547634
34,0.00583,170.4590155890
35,0.00583,170.4590101941
36,0.00583,170.4397416792
37,0.00815,121.6947997480
38,0.00815,121.6734524596
39,0.00816,121.5881564432
40,0.00816,121.5881564432
41,0.00816,121.4786306849
42,0.00816,121.4786306849
43,0.00882,112.3826901000
44,0.00882,112.3826901000
45,0.00885,112.0482667066
46,0.00885,112.0482667066
47,0.00885,112.0482667066
48,0.00890,111.3816430572
49,0.00946,104.6545532815
50,0.00946,104.6545532815
51,0.00946,104.6545532815
52,0.00999,99.0928422438
53,0.00999,99.0928422438
54,0.00999,99.0928422438
55,0.00999,99.0928422438
56,0.00999,99.0898963750
57,0.00999,99.0898963750
58,0.01013,97.7314760889
59,0.01013,97.7314760889
60,0.01013,97.6840397598
61,0.01015,97.5606182578
62,0.01015,97.5606182578
63,0.01015,97.5606182578
64,0.01026,96.4343525076
65,0.01026,96.4343525076
66,0.01026,96.4343525076
67,0.01034,95.7007000210
68,0.01034,95.7007000210
69,0.01034,95.7003537898
70,0.01041,95.0274082691
71,0.01090,90.7397071124
72,0.01090,90.7397071124
73,0.01090,90.7397071124
74,0.01098,90.0463011721
75,0.01098,90.0463011721
76,0.01098,90.0408485578
77,0.01098,90.0408485578
78,0.01109,89.1831369317
79,0.01119,88.3903094452
80,0.01119,88.3903094452
81,0.01119,88.3903094452
82,0.01119,88.3903084280
83,0.01128,87.6407148413
84,0.01128,87.6407148413
85,0.01138,86.8363703875
86,0.01138,86.8363703875
87,0.01138,86.8363646007
88,0.01138,86.8363183509
89,0.01148,86.0867838696
90,0.01148,86.0867838696
91,0.01151,85.9167801656
92,0.01151,85.9167798125
93,0.01151,85.9167798125
94,0.01152,85.7936598295
95,0.01152,85.7936598295
96,0.01152,85.7936598295
97,0.01152,85.7936598295
98,0.01152,85.7936598295
99,0.01152,85.7929332085
100,0.01152,85.7929332085
101,0.01152,85.7929332085
102,0.01152,85.7917272394
103,0.01153,85.7471860727
104,0.01156,85.5243523716
105,0.01156,85.5243523716
106,0.01156,85.5243523716
107,0.01156,85.5243523716
108,0.01156,85.5243121750
109,0.01156,85.5243121750
110,0.01157,85.4307184338
111,0.01157,85.4307184338
112,0.01158,85.3386124769
113,0.01158,85.3386124769
114,0.01158,85.3386123459
115,0.01158,85.3386123459
116,0.01158,85.3386123459
117,0.01158,85.3386082844
118,0.01158,85.3386082844
119,0.01159,85.2923508961
120,0.01159,85.2923508961
121,0.01159,85.2923507651
